run_id,policy,scale,seed,perplexity,memory_mb,latency_ms_per_token,status
G2R02W_Q17B_s42,rank,1.7B,42,15.832511821958452,1297.918251991272,0.11345298114153889,completed
G2R02W_Q17B_s123,rank,1.7B,123,15.691588854396954,1297.9197053909302,0.11413931535090321,completed
G2R02W_Q17B_s456,rank,1.7B,456,15.935989588427736,1297.9221982955933,0.13117504231192356,completed
G2B02W_Q17B_s42,bits,1.7B,42,15.85268919043782,1301.105751991272,0.11450011446978194,completed
G2B02W_Q17B_s123,bits,1.7B,123,15.694706165309384,1301.1072053909302,0.1406537599533499,completed
G2B02W_Q17B_s456,bits,1.7B,456,15.938142398146889,1301.1096982955933,0.11193639935676125,completed
G2R02_Q8B_s42,rank,8B,42,11.796233276237755,3726.6484375,0.17718002775942504,completed
G2R02_Q8B_s123,rank,8B,123,11.482782129930747,3726.6484375,0.2585303422032793,completed
G2R02_Q8B_s456,rank,8B,456,11.56708706070401,3726.6484375,0.14153799562759364,completed
G2B02_Q8B_s42,bits,8B,42,11.782303101845551,3765.5234375,0.17792923055761162,completed
G2B02_Q8B_s123,bits,8B,123,11.460868160012302,3765.5234375,0.23829270569041325,completed
G2B02_Q8B_s456,bits,8B,456,11.549413255102017,3765.5234375,0.23631241964389746,completed
G3R02_S3B_s42,rank,3B,42,11.64821293633937,1907.804280281067,0.12323183290628775,completed
G3R02_S3B_s123,rank,3B,123,11.711071623898144,1907.805733680725,0.12286742164817083,completed
G3R02_S3B_s456,rank,3B,456,11.84194453622042,1907.8082265853882,0.11857723049673383,completed
G3B02_S3B_s42,bits,3B,42,11.548343137492862,1905.038655281067,0.17937146244485372,completed
G3B02_S3B_s123,bits,3B,123,11.618579629409346,1905.040108680725,0.12061678387599378,completed
G3B02_S3B_s456,bits,3B,456,11.696252108275456,1905.0426015853882,0.12135998798317345,completed
